Case_ID,Date,Category,IPC_Sections,Brief crime detail
CH-21-0012,2021-01-15,Theft,379,Motorbike stolen from parking area outside a supermarket in Vadapalani.
CH-21-0028,2021-01-22,Assault,323,Clash between two neighbors over water pipe connection in Triplicane.
CH-21-0045,2021-02-03,Cyber Fraud,420 IT Act 66C,Victim lost ₹25,000 via fake QR code scan while trying to sell furniture on OLX.
CH-21-0067,2021-02-14,Women Safety,354D,Stalking complaint filed by college student against unknown biker in Guindy.
CH-21-0089,2021-02-28,Burglary,457 380,Night break-in at a mobile shop in Washermanpet; accessories stolen.
CH-21-0118,2021-03-12,Assault,324,Group fight at a TASMAC bar in Velachery; one injured with broken bottle.
CH-21-0134,2021-03-25,Cheating,420,Fake travel agent collected money for flight tickets and vanished in Egmore.
CH-21-0155,2021-04-05,Robbery,392,Chain snatching reported by morning walker near Jeeva Park T. Nagar.
CH-21-0178,2021-04-18,Cyber Fraud,IT Act 66D,Phishing SMS regarding 'KYC Expiry' led to bank account drain of ₹40k.
CH-21-0201,2021-05-02,Theft,379,Bicycle stolen from apartment corridor in Mandaveli.
CH-21-0222,2021-05-15,Domestic Violence,498A,Harassment by husband and in-laws reported in Perambur.
CH-21-0245,2021-05-28,Murder,302,Drunken brawl resulted in fatal stabbing of a laborer in Kodambakkam.
CH-21-0267,2021-06-10,Cyber Fraud,420,Oxygen concentrator fraud; victim paid advance but received no device.
CH-21-0289,2021-06-22,Burglary,454 380,Daylight burglary in Anna Nagar; gold ornaments worth ₹5 lakh missing.
CH-21-0312,2021-07-05,Robbery,392,Phone snatched from pedestrian on OMR near Thoraipakkam.
CH-21-0334,2021-07-18,Assault,323 506(ii),Argument over parking space turned violent in Sowcarpet.
CH-21-0356,2021-08-01,Theft,379,Laptop bag stolen from unlocked car at Bessy Beach parking.
CH-21-0378,2021-08-14,Cyber Fraud,IT Act 66C,Social media profile hacked; hacker demanded money from friends list.
CH-21-0401,2021-08-29,Women Safety,509,Lewd comments made at women at a bus stop in Adyar.
CH-21-0423,2021-09-10,Cheating,420,Job scam; aspirants paid for 'railway jobs' to fake recruiter in Central.
CH-21-0445,2021-09-22,Narcotics,NDPS Act,Possession of 1kg ganja reported near a college in Tambaram.
CH-21-0467,2021-10-05,Robbery,397,Armed robbery attempt at a pawn shop in North Chennai; public raised alarm.
CH-21-0489,2021-10-18,Cyber Fraud,420,Lottery scam; victim tricked into paying 'tax' for a fake prize win.
CH-21-0512,2021-11-01,Theft,379,Copper wires stolen from construction site in Porur.
CH-21-0534,2021-11-15,Assault,307,Attempt to murder due to previous enmity in Vyasarpadi.
CH-21-0556,2021-11-28,Burglary,457,Temple hundi broken into in West Mambalam; cash stolen.
CH-21-0578,2021-12-10,Cyber Fraud,IT Act 66D,Fake electricity bill message; remote access app installed funds stolen.
CH-21-0601,2021-12-22,Women Safety,354,Inappropriate touch reported by passenger in share auto near Koyambedu.
CH-21-0623,2021-12-30,Public Nuisance,290,New Year's Eve ruckus created by drunk youths in Besant Nagar.
CH-22-0012,2022-01-08,Murder,302 34,Gang rivalry led to murder of history-sheeter in Royapuram.
CH-22-0034,2022-01-20,Theft,379,Battery theft from multiple parked cars in Madipakkam.
CH-22-0056,2022-02-05,Cyber Fraud,420,Loan app harassment; victim threatened with morphed photos sent to contacts.
CH-22-0078,2022-02-18,Robbery,392,Elderly woman pushed and gold chain snatched in Alwarpet.
CH-22-0101,2022-03-02,Cheating,406,Chit fund owner absconded with investor money in Saidapet.
CH-22-0123,2022-03-15,Assault,324,Road rage incident between car driver and biker on Mount Road.
CH-22-0145,2022-03-28,Cyber Fraud,IT Act 66C,Credit card cloning; unauthorized international transaction of ₹50k.
CH-22-0167,2022-04-10,Women Safety,354A,Sexual harassment complaint at workplace filed by IT employee in Siruseri.
CH-22-0189,2022-04-22,Burglary,454,House break-in during summer vacation in Nungambakkam.
CH-22-0212,2022-05-05,Theft,379,Silencer stolen from Eco car parked on street in Virugambakkam.
CH-22-0234,2022-05-18,Murder,302,Family dispute led to husband killing wife in Kolathur.
CH-22-0256,2022-06-01,Cyber Fraud,420,Fake customer care number scam; victim lost ₹15k seeking refund.
CH-22-0278,2022-06-14,Robbery,394,Couple threatened and robbed of valuables on ECR night drive.
